<2cents> 2cents
<ale> ale
<alienfrown> alienfrown
<aliensmile> aliensmile
<angel> angel
<ant> ant
<applause> applause
<artist> artist
<bat> bat
<bigeyes> bigeyes
<biggrin> biggrin
<biker> biker
<biro> biro
<blackcat> blackcat
<blacksheep> blacksheep
<bleep> bleep
<blue> blue
<bluebutterfly> bluebutterfly
<bluefish> bluefish
<bluelight> bluelight
<blush> blush
<boing> boing
<book> book
<borg> borg
<brave> brave
<brokenheart> brokenheart
<brr> brr
<bruised> bruised
<bubbly> bubbly
<bunny> bunny
<burger> burger
<bus> bus
<cake> cake
<canofworms> canofworms
<capp> cappuccino
<cappuccino> cappuccino
<cat> cat
<cdouble> cdouble
<cheers> cheers
<cheerup> cheerup
<cheese> cheese
<cheesecake> cheesecake
<chef> chef
<chick> chick
<choc> choc
<chocolateteapot> chocolateteapot
<cider> cider
<clown> clown
<coffee> coffee
<cool> cool
<corncob> corncob
<cracker> cracker
<crescentmoon> crescentmoon
<crisps> crisps
<cross> cross
<cry> cry
<cuddle> cuddle
<cupcake> cupcake
<cupid> cupid
<devil> devil
<disco> disco
<diva> diva
<doctor> doctor
<dog> dog
<doh> doh
<dontpanic> dontpanic
<donut> donut
<dragon> dragon
<drool> drool
<drumroll> drumroll
<drunk> drunk
<earth> earth
<elf> elf
<elvis> elvis
<empty> empty
<envy> envy
<erm> erm
<eureka> eureka
<evilgrin> evilgrin
<fairy> fairy
<fish> fish
<hsif> hsif
<flan> flan
<flustered> flustered
<flyhi> flyhi
<flyingpig> flyingpig
<football> football
<footinmouth> footinmouth
<footprints> footprints
<friedegg> friedegg
<fullmoon> fullmoon
<galaxy> galaxy
<geek> geek
<ghost> ghost
<gift> gift
<goodluck> goodluck
<groan> groan
<grovel> grovel
<grr> grr
<hamster> hamster
<handbag> handbag
<handcuffs> handcuffs
<hangover> hangover
<headhurts> headhurts
<holly> holly
<hotdog> hotdog
<hug> hug
<huh> huh
<ill> ill
<injured> injured
<jester> jester
<kiss> kiss
<laugh> laugh
<lighthouse> lighthouse
<llabwons> llabwons
<love> love
<loveblush> loveblush
<lurk> lurk
<magic> magic
<mars> mars
<martianfrown> martianfrown
<martiansmile> martiansmile
<milk> milk
<mistletoe> mistletoe
<mod> mod
<monster> monster
<moon> moon
<mouse> mouse
<esuom> esuom
<musicalnote> musicalnote
<nahnah> nahnah
<nurse> nurse
<offtopic> offtopic
<oj> oj
<ok> ok
<online2long> online2long
<orangebutterfly> orangebutterfly
<orangefish> orangefish
<panda> panda
<peacedove> peacedove
<peacesign> peacesign
<pggb> pggb
<pirate> pirate
<planet> planet
<pony> pony
<popcorn> popcorn
<porkpie> porkpie
<puff> puff
<pumpkin> pumpkin
<racket1> racket1
<racket2> racket2
<racquet1> racket1
<racquet2> racket2
<rainbow> rainbow
<raisedeyebrow> raisedeyebrow
<redwine> redwine
<reindeer> reindeer
<rocket> rocket
<rofl> rofl
<rolleyes> rolleyes
<rose> rose
<run> run
<sadface> sadface
<santa> santa
<schooloffish> schooloffish
<scientist> scientist
<senior> senior
<shark> shark
<sheep> sheep
<shhh> shhh
<shrug> shrug
<sigh> sigh
<silly> silly
<simpost> simpost
<ski> ski
<skull> skull
<sleepy> sleepy
<smiley> smiley
<smooch> smooch
<snork> snork
<snowball> snowball
<snowman> snowman
<somersault> somersault
<sorry> sorry
<space> space
<spider> spider
<spork> spork
<star> star
<steam> steam
<stiffdrink> stiffdrink
<stout> stout
<strawberries> strawberries
<strawberry> strawberry
<surfer> surfer
<ta> ta
<tardis> tardis
<tea> tea
<tennisball> tennisball
<thepost> thepost
<thief> thief
<tickle> tickle
<tit> tit
<toffeeapple> toffeeapple
<tomato> tomato
<tongueincheek> tongueincheek
<tongueout> tongueout
<towel> towel
<ufo> ufo
<vampire> vampire
<wah> wah
<weird> weird
<whistle> whistle
<winkeye> winkeye
<witch> witch
<wizard> wizard
<wow> wow
<xmaspud> xmaspud
<xmastree> xmastree
<yawn> yawn
<yikes> yikes
<yuk> yuk
<zen> zen
<zoom> zoom
<zzz> zzz

{{{}}} hug
:-)==O borg
:-)==0 borg
d_||_b cheers

@'.'@ blush
@->-- rose

@\_/ cupcake
c|_| ale
c\_/ coffee
g|_| stout
K:o) clown
O:-) angel
o:-) doctor
+:-) nurse
:'-( cry
=>>> xmastree
--OE spork

:-) smiley
:-( sadface
:-P tongueout
:-D biggrin
:-O yawn
:-* kiss
:-/ erm
:-[ vampire
:*) drunk
;-) winkeye
8-) bigeyes
B-) cool
X-| cross
>-| bubbly
><> fish
<>< hsif
|%| oj
|-O yawn
|-I zzz
\%/ stiffdrink
\_/ empty
\R/ redwine
==O racket1
O== racket2
-=@ tennisball
o/~ musicalnote

:) smiley
:( sadface
;) winkeye
