<2cents> 2cents
<ale> ale
<alienfrown> alienfrown
<aliensmile> aliensmile
<angel> angel
<ant> ant
<artist> artist
<bat> bat
<bigeyes> bigeyes
<biggrin> biggrin
<blackcat> blackcat
<blacksheep> blacksheep
<bleep> bleep
<blue> blue
<bluebutterfly> bluebutterfly
<bluefish> bluefish
<blush> blush
<boing> boing
<borg> borg
<brr> brr
<bruised> bruised
<bubbly> bubbly
<bunny> bunny
<burger> burger
<bus> bus
<cake> cake
<canofworms> canofworms
<capp> cappuccino
<cappuccino> cappuccino
<cat> cat
<cdouble> cdouble
<cheers> cheers
<cheerup> cheerup
<cheesecake> cheesecake
<chef> chef
<chick> chick
<choc> choc
<chocolateteapot> chocolateteapot
<clown> clown
<coffee> coffee
<cool> cool
<corncob> corncob
<cracker> cracker
<crescentmoon> crescentmoon
<crisps> crisps
<cross> cross
<cry> cry
<cuddle> cuddle
<cupcake> cupcake
<cupid> cupid
<devil> devil
<disco> disco
<diva> diva
<doctor> doctor
<dog> dog
<doh> doh
<donut> donut
<dragon> dragon
<drool> drool
<drunk> drunk
<earth> earth
<elvis> elvis
<elf> elf
<empty> empty
<erm> erm
<eureka> eureka
<fairy> fairy
<fish> fish
<hsif> hsif
<flan> flan
<flustered> flustered
<flyhi> flyhi
<football> football
<footprints> footprints
<fullmoon> fullmoon
<geek> geek
<ghost> ghost
<gift> gift
<groan> groan
<grovel> grovel
<grr> grr
<handbag> handbag
<handcuffs> handcuffs
<hangover> hangover
<headhurts> headhurts
<holly> holly
<hotdog> hotdog
<hug> hug
<huh> huh
<ill> ill
<injured> injured
<jester> jester
<kiss> kiss
<laugh> laugh
<lighthouse> lighthouse
<llabwons> llabwons
<love> love
<loveblush> loveblush
<magic> magic
<mars> mars
<martianfrown> martianfrown
<martiansmile> martiansmile
<milk> milk
<mistletoe> mistletoe
<mod> mod
<monster> monster
<moon> moon
<mouse> mouse
<esuom> esuom
<musicalnote> musicalnote
<nahnah> nahnah
<nurse> nurse
<oj> oj
<ok> ok
<online2long> online2long
<orangebutterfly> orangebutterfly
<orangefish> orangefish
<panda> panda
<peacedove> peacedove
<peacesign> peacesign
<pggb> pggb
<pirate> pirate
<planet> planet
<pony> pony
<popcorn> popcorn
<porkpie> porkpie
<puff> puff
<pumpkin> pumpkin
<racket1> racket1
<racket2> racket2
<racquet1> racket1
<racquet2> racket2
<rainbow> rainbow
<redwine> redwine
<reindeer> reindeer
<rocket> rocket
<rose> rose
<run> run
<sadface> sadface
<santa> santa
<schooloffish> schooloffish
<scientist> scientist
<shark> shark
<sheep> sheep
<silly> silly
<ski> ski
<skull> skull
<sleepy> sleepy
<smiley> smiley
<smooch> smooch
<snowball> snowball
<snowman> snowman
<sorry> sorry
<space> space
<spider> spider
<spork> spork
<star> star
<steam> steam
<stiffdrink> stiffdrink
<stout> stout
<strawberries> strawberries
<strawberry> strawberry
<surfer> surfer
<ta> ta
<tea> tea
<tennisball> tennisball
<thepost> thepost
<thief> thief
<tickle> tickle
<tit> tit
<toffeeapple> toffeeapple
<tomato> tomato
<tongueout> tongueout
<towel> towel
<ufo> ufo
<vampire> vampire
<wah> wah
<weird> weird
<whistle> whistle
<winkeye> winkeye
<witch> witch
<wizard> wizard
<wow> wow
<xmaspud> xmaspud
<xmastree> xmastree
<yawn> yawn
<yikes> yikes
<yuk> yuk
<zen> zen
<zoom> zoom
<zzz> zzz

{{{}}} hug
:-)==O borg
:-)==0 borg
d_||_b cheers

@'.'@ blush
@->-- rose

@\_/ cupcake
c|_| ale
c\_/ coffee
g|_| stout
K:o) clown
O:-) angel
o:-) doctor
+:-) nurse
:'-( cry
=>>> xmastree
--OE spork

:-) smiley
:-( sadface
:-P tongueout
:-D biggrin
:-O yawn
:-* kiss
:-/ erm
:-[ vampire
:*) drunk
;-) winkeye
8-) bigeyes
B-) cool
X-| cross
>-| bubbly
><> fish
<>< hsif
|%| oj
|-O yawn
|-I zzz
\%/ stiffdrink
\_/ empty
\R/ redwine
==O racket1
O== racket2
-=@ tennisball
o/~ musicalnote

:) smiley
:( sadface
;) winkeye

